icao24,origin_country,pos_time,longitude,latitude,velocity,retrieved_time,pos_date,pos_country,pos_city
39de54,France,2026-03-06 10:45:55+00:00,5.1584,49.5813,224.48,2026-03-06 10:45:57+00:00,2026-03-06,FR,Carignan
e49405,Brazil,2026-03-06 10:45:08+00:00,-39.8302,-16.845,248.3,2026-03-06 10:45:57+00:00,2026-03-06,BR,Guaratinga
4b1804,Switzerland,2026-03-06 10:45:52+00:00,8.5581,47.4534,0.0,2026-03-06 10:45:57+00:00,2026-03-06,CH,Glattbrugg / Rohr/Platten-Balsberg
4b1805,Switzerland,2026-03-06 10:45:57+00:00,4.3316,48.5491,224.4,2026-03-06 10:45:57+00:00,2026-03-06,FR,Mailly-le-Camp
880450,Thailand,2026-03-06 10:42:04+00:00,99.4575,16.9034,196.85,2026-03-06 10:45:57+00:00,2026-03-06,TH,Ban Dan Lan Hoi
4b1807,Switzerland,2026-03-06 10:38:57+00:00,8.5675,47.4438,0.06,2026-03-06 10:45:57+00:00,2026-03-06,CH,Glattbrugg / Rohr/Platten-Balsberg
80163d,India,2026-03-06 10:45:56+00:00,74.92,26.0777,244.04,2026-03-06 10:45:57+00:00,2026-03-06,IN,Kekri
4b1801,Switzerland,2026-03-06 10:45:45+00:00,8.5612,47.4448,0.0,2026-03-06 10:45:57+00:00,2026-03-06,CH,Glattbrugg / Rohr/Platten-Balsberg
a53eef,United States,2026-03-06 10:45:56+00:00,-90.2617,34.1776,233.9,2026-03-06 10:45:57+00:00,2026-03-06,US,Lambert
4b1802,Switzerland,2026-03-06 10:45:46+00:00,13.5051,52.3673,0.0,2026-03-06 10:45:57+00:00,2026-03-06,DE,Schönefeld
408111,United Kingdom,2026-03-06 10:45:56+00:00,-3.3628,54.8391,134.53,2026-03-06 10:45:57+00:00,2026-03-06,GB,Silloth
4952ca,Portugal,2026-03-06 10:45:56+00:00,0.9573,47.7996,224.48,2026-03-06 10:45:57+00:00,2026-03-06,FR,Villiers-sur-Loir
00b22d,South Africa,2026-03-06 10:41:09+00:00,27.5908,-23.167,239.1,2026-03-06 10:45:57+00:00,2026-03-06,BW,Machaneng
4952cb,Portugal,2026-03-06 10:45:56+00:00,0.2363,47.7047,230.83,2026-03-06 10:45:57+00:00,2026-03-06,FR,Aubigné-Racan
00b22e,South Africa,2026-03-06 10:45:47+00:00,20.1403,-33.1714,248.82,2026-03-06 10:45:57+00:00,2026-03-06,ZA,Touwsrivier
4952cd,Portugal,2026-03-06 10:45:56+00:00,-9.5187,38.9012,147.95,2026-03-06 10:45:57+00:00,2026-03-06,PT,Fontanelas
4952ce,Portugal,2026-03-06 10:45:56+00:00,-8.6564,40.52,168.6,2026-03-06 10:45:57+00:00,2026-03-06,PT,Vagos
4952cf,Portugal,2026-03-06 10:45:56+00:00,-8.507,37.4942,241.09,2026-03-06 10:45:57+00:00,2026-03-06,PT,Odemira
00b22f,South Africa,2026-03-06 10:45:53+00:00,27.6076,-26.8996,202.26,2026-03-06 10:45:57+00:00,2026-03-06,ZA,Parys
3ffc03,Germany,2026-03-06 10:41:30+00:00,10.363,47.6562,45.16,2026-03-06 10:45:57+00:00,2026-03-06,DE,Sulzberg
7c6b19,Australia,2026-03-06 10:45:56+00:00,137.2056,-33.3513,214.85,2026-03-06 10:45:57+00:00,2026-03-06,AU,Cowell
7c6b0e,Australia,2026-03-06 10:45:55+00:00,143.9561,-37.46,213.08,2026-03-06 10:45:57+00:00,2026-03-06,AU,Creswick
4952d0,Portugal,2026-03-06 10:45:55+00:00,-6.7866,39.4124,202.58,2026-03-06 10:45:57+00:00,2026-03-06,ES,Aliseda
a5955b,United States,2026-03-06 10:45:56+00:00,-82.0484,36.3765,223.32,2026-03-06 10:45:57+00:00,2026-03-06,US,Hunter
440dc6,Austria,2026-03-06 10:45:52+00:00,13.2383,47.9361,67.7,2026-03-06 10:45:57+00:00,2026-03-06,AT,Neumarkt am Wallersee
80160e,India,2026-03-06 10:44:44+00:00,91.3596,25.698,139.94,2026-03-06 10:45:57+00:00,2026-03-06,IN,Nongstoin
c01aa6,Canada,2026-03-06 10:45:56+00:00,-111.5997,51.5196,219.26,2026-03-06 10:45:57+00:00,2026-03-06,CA,Hanna
851914,Japan,2026-03-06 10:45:56+00:00,134.9981,34.8591,154.09,2026-03-06 10:45:57+00:00,2026-03-06,JP,Miki
4b181a,Switzerland,2026-03-06 10:45:55+00:00,-0.1609,51.354,109.03,2026-03-06 10:45:57+00:00,2026-03-06,GB,Wallington
4952c9,Portugal,2026-03-06 10:45:56+00:00,-1.0298,46.6211,231.41,2026-03-06 10:45:57+00:00,2026-03-06,FR,Chantonnay
a46e40,United States,2026-03-06 10:45:55+00:00,-98.7619,43.2409,273.62,2026-03-06 10:45:57+00:00,2026-03-06,US,Platte
402aa0,United Kingdom,2026-03-06 10:45:56+00:00,-3.2665,56.553,50.33,2026-03-06 10:45:57+00:00,2026-03-06,GB,Coupar Angus
c08412,Canada,2026-03-06 10:45:57+00:00,-94.2374,46.3499,208.0,2026-03-06 10:45:57+00:00,2026-03-06,US,Brainerd
440daa,Austria,2026-03-06 10:45:56+00:00,13.5965,47.6506,95.89,2026-03-06 10:45:57+00:00,2026-03-06,AT,Bad Goisern
80161a,India,2026-03-06 10:45:55+00:00,91.3811,25.8381,218.92,2026-03-06 10:45:57+00:00,2026-03-06,IN,Sanpara
4952c2,Portugal,2026-03-06 10:45:57+00:00,8.457,47.1989,227.09,2026-03-06 10:45:57+00:00,2026-03-06,CH,Cham
ad5628,United States,2026-03-06 10:45:56+00:00,-81.1632,35.098,141.94,2026-03-06 10:45:57+00:00,2026-03-06,US,Clover
88045a,Thailand,2026-03-06 10:45:56+00:00,102.5304,15.3528,184.4,2026-03-06 10:45:57+00:00,2026-03-06,TH,Non Daeng
4952c6,Portugal,2026-03-06 10:45:54+00:00,-13.1728,33.9647,220.04,2026-03-06 10:45:57+00:00,2026-03-06,PT,Vila Baleira
4952c7,Portugal,2026-03-06 10:45:39+00:00,-9.3709,35.2494,241.87,2026-03-06 10:45:57+00:00,2026-03-06,PT,Sagres
4952c8,Portugal,2026-03-06 10:45:56+00:00,-8.9232,38.9762,137.15,2026-03-06 10:45:57+00:00,2026-03-06,PT,Castanheira do Ribatejo
4b180c,Switzerland,2026-03-06 10:45:47+00:00,8.5569,47.4559,0.0,2026-03-06 10:45:57+00:00,2026-03-06,CH,Glattbrugg / Rohr/Platten-Balsberg
39de46,France,2026-03-06 10:45:56+00:00,1.228,41.5537,217.75,2026-03-06 10:45:57+00:00,2026-03-06,ES,Vallfogona de Riucorb
488252,Poland,2026-03-06 10:45:55+00:00,0.9606,49.7213,203.13,2026-03-06 10:45:57+00:00,2026-03-06,FR,Bacqueville-en-Caux
a1025a,United States,2026-03-06 10:45:55+00:00,-86.1931,37.966,190.59,2026-03-06 10:45:57+00:00,2026-03-06,US,Brandenburg
440db0,Austria,2026-03-06 10:45:56+00:00,1.2261,44.0455,229.81,2026-03-06 10:45:57+00:00,2026-03-06,FR,Saint-Porquier
39de48,France,2026-03-06 10:45:55+00:00,6.6093,39.2403,236.38,2026-03-06 10:45:57+00:00,2026-03-06,IT,Carloforte
39de47,France,2026-03-06 10:45:57+00:00,-8.1952,39.5456,210.99,2026-03-06 10:45:57+00:00,2026-03-06,PT,Sardoal
801635,India,2026-03-06 10:44:53+00:00,75.6463,28.2355,45.27,2026-03-06 10:45:57+00:00,2026-03-06,IN,Chidawa
801632,India,2026-03-06 10:45:56+00:00,77.9972,28.5159,140.87,2026-03-06 10:45:57+00:00,2026-03-06,IN,Khānpur
393efc,France,2026-03-06 10:45:24+00:00,6.7423,49.8017,53.96,2026-03-06 10:45:57+00:00,2026-03-06,DE,Schweich
8a02cb,Indonesia,2026-03-06 10:45:56+00:00,101.3599,2.5334,153.85,2026-03-06 10:45:57+00:00,2026-03-06,MY,Morib
a33b1e,United States,2026-03-06 10:45:55+00:00,-97.0734,33.1455,110.44,2026-03-06 10:45:57+00:00,2026-03-06,US,Corinth
7c6b18,Australia,2026-03-06 10:45:56+00:00,153.5099,-28.7358,185.71,2026-03-06 10:45:57+00:00,2026-03-06,AU,Bangalow
440db9,Austria,2026-03-06 10:43:39+00:00,13.4905,47.7302,40.85,2026-03-06 10:45:57+00:00,2026-03-06,AT,Strobl
7c6b12,Australia,2026-03-06 10:45:56+00:00,149.6176,-34.64,209.2,2026-03-06 10:45:57+00:00,2026-03-06,AU,Goulburn
4b180b,Switzerland,2026-03-06 10:45:50+00:00,8.5548,47.4561,0.06,2026-03-06 10:45:57+00:00,2026-03-06,CH,Glattbrugg / Rohr/Platten-Balsberg
3c6669,Germany,2026-03-06 10:45:56+00:00,8.1924,49.9637,98.69,2026-03-06 10:45:57+00:00,2026-03-06,DE,Ober-Olm
511187,Estonia,2026-03-06 10:45:56+00:00,-7.3137,41.0098,230.86,2026-03-06 10:45:57+00:00,2026-03-06,PT,Mêda
3c6668,Germany,2026-03-06 10:45:56+00:00,21.8862,41.1135,248.56,2026-03-06 10:45:57+00:00,2026-03-06,GR,Prómachoi
80166d,India,2026-03-06 10:45:55+00:00,76.7951,26.9861,232.67,2026-03-06 10:45:57+00:00,2026-03-06,IN,Todabhim
3c6667,Germany,2026-03-06 10:45:56+00:00,19.9515,58.5347,251.41,2026-03-06 10:45:57+00:00,2026-03-06,SE,Djurö
a2228b,United States,2026-03-06 10:45:56+00:00,-145.7198,60.3195,265.77,2026-03-06 10:45:57+00:00,2026-03-06,US,Cordova
511189,Estonia,2026-03-06 10:45:56+00:00,8.2427,48.0181,232.34,2026-03-06 10:45:57+00:00,2026-03-06,DE,Furtwangen
408163,United Kingdom,2026-03-06 10:45:56+00:00,-3.9693,56.0437,70.2,2026-03-06 10:45:57+00:00,2026-03-06,GB,Banknock
4acb01,Sweden,2026-03-06 10:45:55+00:00,11.4606,57.7483,215.51,2026-03-06 10:45:57+00:00,2026-03-06,SE,Hönö
e4943e,Brazil,2026-03-06 10:45:56+00:00,-43.4981,-23.3621,236.82,2026-03-06 10:45:57+00:00,2026-03-06,BR,Barra da Tijuca
e4943f,Brazil,2026-03-06 10:45:55+00:00,-45.509,-21.9201,241.51,2026-03-06 10:45:57+00:00,2026-03-06,BR,São Gonçalo do Sapucaí
4acb02,Sweden,2026-03-06 10:45:55+00:00,15.0277,56.4424,215.02,2026-03-06 10:45:57+00:00,2026-03-06,SE,Tingsryd
3c665a,Germany,2026-03-06 10:45:56+00:00,7.0747,50.4986,224.16,2026-03-06 10:45:57+00:00,2026-03-06,DE,Dernau
801686,India,2026-03-06 10:41:46+00:00,91.3233,24.0214,97.67,2026-03-06 10:45:57+00:00,2026-03-06,BD,Shāhbāzpur Town
3c664e,Germany,2026-03-06 10:44:53+00:00,8.5606,50.0434,6.69,2026-03-06 10:45:57+00:00,2026-03-06,DE,Kelsterbach
3c664d,Germany,2026-03-06 10:45:56+00:00,11.1168,41.9122,215.95,2026-03-06 10:45:57+00:00,2026-03-06,IT,Isola del Giglio
4bc8c9,Turkey,2026-03-06 10:44:24+00:00,2.0786,41.2971,62.38,2026-03-06 10:45:57+00:00,2026-03-06,ES,El Prat de Llobregat
801688,India,2026-03-06 10:45:55+00:00,72.1147,19.0889,0.0,2026-03-06 10:45:57+00:00,2026-03-06,IN,Gorai
4bc8c6,Turkey,2026-03-06 10:45:56+00:00,8.1487,50.0924,240.29,2026-03-06 10:45:57+00:00,2026-03-06,DE,Schlangenbad
4bc8c7,Turkey,2026-03-06 10:42:08+00:00,7.4963,47.6371,70.18,2026-03-06 10:45:57+00:00,2026-03-06,FR,Bartenheim
4bc8c4,Turkey,2026-03-06 10:45:56+00:00,28.7093,40.7288,135.82,2026-03-06 10:45:57+00:00,2026-03-06,TR,Armutlu
e49444,Brazil,2026-03-06 10:45:08+00:00,-39.6072,-6.1219,223.78,2026-03-06 10:45:57+00:00,2026-03-06,BR,Acopiara
4bc8c2,Turkey,2026-03-06 09:42:25+00:00,22.5892,51.1204,211.44,2026-03-06 10:45:57+00:00,2026-03-06,PL,Jabłonna
801681,India,2026-03-06 10:44:29+00:00,77.0919,28.5693,5.14,2026-03-06 10:45:57+00:00,2026-03-06,IN,Samālka
3c6663,Germany,2026-03-06 10:45:25+00:00,8.5542,50.0412,12.35,2026-03-06 10:45:57+00:00,2026-03-06,DE,Kelsterbach
801680,India,2026-03-06 10:45:54+00:00,75.6435,17.831,222.84,2026-03-06 10:45:57+00:00,2026-03-06,IN,Kāti
80167d,India,2026-03-06 10:44:16+00:00,73.1422,19.912,245.91,2026-03-06 10:45:57+00:00,2026-03-06,IN,Jawhār
4bc8d0,Turkey,2026-03-06 10:45:56+00:00,11.2619,47.1719,236.31,2026-03-06 10:45:57+00:00,2026-03-06,AT,Grinzens
4952a8,Portugal,2026-03-06 10:45:56+00:00,-16.6755,35.0109,253.48,2026-03-06 10:45:57+00:00,2026-03-06,PT,Camacha
3c6678,Germany,2026-03-06 10:45:49+00:00,8.5593,50.0439,3.6,2026-03-06 10:45:57+00:00,2026-03-06,DE,Kelsterbach
4952a9,Portugal,2026-03-06 10:45:57+00:00,-10.3445,37.2852,202.71,2026-03-06 10:45:57+00:00,2026-03-06,PT,Sagres
80167c,India,2026-03-06 10:45:57+00:00,84.5186,21.0022,234.24,2026-03-06 10:45:57+00:00,2026-03-06,IN,Baud
e4944e,Brazil,2026-03-06 10:42:19+00:00,-43.2847,-22.7985,67.82,2026-03-06 10:45:57+00:00,2026-03-06,BR,Duque de Caxias
511171,Estonia,2026-03-06 10:45:56+00:00,5.3593,46.1544,232.46,2026-03-06 10:45:57+00:00,2026-03-06,FR,Villereversure
e4944f,Brazil,2026-03-06 10:45:56+00:00,-48.8707,-21.5667,195.9,2026-03-06 10:45:57+00:00,2026-03-06,BR,Itápolis
511172,Estonia,2026-03-06 10:45:56+00:00,-5.797,37.5929,223.37,2026-03-06 10:45:57+00:00,2026-03-06,ES,Cantillana
abb3be,United States,2026-03-06 10:45:56+00:00,-0.6241,54.0935,241.7,2026-03-06 10:45:57+00:00,2026-03-06,GB,Fimber
511170,Estonia,2026-03-06 10:45:55+00:00,-6.7282,41.3688,230.9,2026-03-06 10:45:57+00:00,2026-03-06,PT,Mogadouro
3c4c63,Germany,2026-03-06 10:45:56+00:00,13.6388,56.8919,251.77,2026-03-06 10:45:57+00:00,2026-03-06,SE,Reftele
440286,Austria,2026-03-06 10:45:56+00:00,13.8419,47.9473,38.94,2026-03-06 10:45:57+00:00,2026-03-06,AT,Gschwandt
aaf67e,United States,2026-03-06 10:45:55+00:00,16.2496,37.0685,243.6,2026-03-06 10:45:57+00:00,2026-03-06,IT,Palizzi Marina
e80268,Chile,2026-03-06 10:41:02+00:00,-75.1844,9.3969,225.59,2026-03-06 10:45:57+00:00,2026-03-06,CO,Los Palmitos
e49450,Brazil,2026-03-06 10:45:56+00:00,-46.6613,-23.6211,2.06,2026-03-06 10:45:57+00:00,2026-03-06,BR,Campo Belo
0a00c2,Algeria,2026-03-06 10:45:56+00:00,14.6632,35.7918,264.0,2026-03-06 10:45:57+00:00,2026-03-06,MT,Marsaskala
0a00c3,Algeria,2026-03-06 10:45:56+00:00,38.1839,41.1405,221.51,2026-03-06 10:45:57+00:00,2026-03-06,TR,Piraziz
48cb15,Poland,2026-03-06 10:45:56+00:00,-2.5615,40.3617,229.59,2026-03-06 10:45:57+00:00,2026-03-06,ES,Tinajas
3c6672,Germany,2026-03-06 10:45:56+00:00,11.7179,45.9198,231.12,2026-03-06 10:45:57+00:00,2026-03-06,IT,Cismon del Grappa
4bc8d5,Turkey,2026-03-06 10:45:56+00:00,13.5957,54.5649,221.55,2026-03-06 10:45:57+00:00,2026-03-06,DE,Sagard
841a6c,Japan,2026-03-06 10:45:56+00:00,141.0802,38.1383,187.18,2026-03-06 10:45:57+00:00,2026-03-06,JP,Shōbudahama
4bc8d6,Turkey,2026-03-06 10:45:55+00:00,6.0726,43.2248,186.51,2026-03-06 10:45:57+00:00,2026-03-06,FR,Cuers
4bc8d3,Turkey,2026-03-06 10:45:56+00:00,26.007,42.8576,214.74,2026-03-06 10:45:57+00:00,2026-03-06,BG,Elena
3c6676,Germany,2026-03-06 10:45:56+00:00,8.4858,49.9269,157.09,2026-03-06 10:45:57+00:00,2026-03-06,DE,Groß-Gerau
4bc8d4,Turkey,2026-03-06 10:45:55+00:00,22.8385,46.7588,219.95,2026-03-06 10:45:57+00:00,2026-03-06,RO,Săcuieu
3c6674,Germany,2026-03-06 10:45:56+00:00,7.2108,50.8226,226.63,2026-03-06 10:45:57+00:00,2026-03-06,DE,Lohmar
4bc8d2,Turkey,2026-03-06 10:45:56+00:00,7.3229,50.8071,134.59,2026-03-06 10:45:57+00:00,2026-03-06,DE,Hennef (Sieg)
a34e9d,United States,2026-03-06 10:45:51+00:00,-73.8631,40.7706,0.06,2026-03-06 10:45:57+00:00,2026-03-06,US,East Elmhurst
a963f7,United States,2026-03-06 10:45:56+00:00,-95.0181,31.8356,243.56,2026-03-06 10:45:57+00:00,2026-03-06,US,Rusk
80164f,India,2026-03-06 10:45:55+00:00,74.867,26.0932,241.27,2026-03-06 10:45:57+00:00,2026-03-06,IN,Nasīrābād
471efa,Hungary,2026-03-06 10:45:57+00:00,16.8536,47.2152,237.05,2026-03-06 10:45:57+00:00,2026-03-06,HU,Sárvár
acdffc,United States,2026-03-06 10:45:57+00:00,-86.0868,34.3199,247.82,2026-03-06 10:45:57+00:00,2026-03-06,US,Crossville
3c667a,Germany,2026-03-06 10:45:56+00:00,6.8663,51.2901,230.21,2026-03-06 10:45:57+00:00,2026-03-06,DE,Ratingen
47b217,Norway,2026-03-06 10:44:09+00:00,44.3564,41.17,102.33,2026-03-06 10:45:57+00:00,2026-03-06,AM,Lernahovit
a798b9,United States,2026-03-06 10:45:56+00:00,-94.7856,38.9681,97.55,2026-03-06 10:45:57+00:00,2026-03-06,US,Lenexa
471efd,Hungary,2026-03-06 10:13:11+00:00,-77.0413,-12.0355,232.28,2026-03-06 10:45:57+00:00,2026-03-06,PE,Lima
505f1d,Slovakia,2026-03-06 10:43:53+00:00,18.7891,49.164,76.21,2026-03-06 10:45:57+00:00,2026-03-06,SK,Žilina
e80276,Chile,2026-03-06 10:45:56+00:00,-43.0372,-22.9172,146.12,2026-03-06 10:45:57+00:00,2026-03-06,BR,Niterói
40812d,United Kingdom,2026-03-06 10:45:56+00:00,-4.5073,36.9838,154.57,2026-03-06 10:45:57+00:00,2026-03-06,ES,Villanueva de la Concepción
4712aa,Hungary,2026-03-06 10:40:22+00:00,19.2793,47.8601,55.91,2026-03-06 10:45:57+00:00,2026-03-06,HU,Romhány
51118a,Estonia,2026-03-06 10:45:55+00:00,19.5646,46.7843,222.7,2026-03-06 10:45:57+00:00,2026-03-06,HU,Helvécia
7c6b3b,Australia,2026-03-06 10:45:56+00:00,151.0913,-34.3018,192.95,2026-03-06 10:45:57+00:00,2026-03-06,AU,Stanwell Park
80165c,India,2026-03-06 10:45:56+00:00,89.4184,26.6068,210.39,2026-03-06 10:45:57+00:00,2026-03-06,IN,Hāsimāra
44029d,Austria,2026-03-06 10:45:55+00:00,12.6484,41.5844,49.02,2026-03-06 10:45:57+00:00,2026-03-06,IT,Aprilia
80165a,India,2026-03-06 10:43:03+00:00,77.0918,28.5609,6.94,2026-03-06 10:45:57+00:00,2026-03-06,IN,Samālka
a59530,United States,2026-03-06 10:45:56+00:00,-86.6948,36.2895,121.03,2026-03-06 10:45:57+00:00,2026-03-06,US,Goodlettsville
511194,Estonia,2026-03-06 10:45:56+00:00,-6.6053,41.5735,226.41,2026-03-06 10:45:57+00:00,2026-03-06,PT,Vimioso
a3556f,United States,2026-03-06 10:45:53+00:00,-71.0171,42.3698,0.0,2026-03-06 10:45:57+00:00,2026-03-06,US,Jeffries Point
801674,India,2026-03-06 10:45:57+00:00,76.6968,27.0368,238.57,2026-03-06 10:45:57+00:00,2026-03-06,IN,Abhaneri
3442c2,Spain,2026-03-06 10:45:56+00:00,5.945,40.1442,144.38,2026-03-06 10:45:57+00:00,2026-03-06,ES,Es Castell
801672,India,2026-03-06 10:45:56+00:00,75.1204,26.7974,250.77,2026-03-06 10:45:57+00:00,2026-03-06,IN,Naraina
3d36ed,Germany,2026-03-06 10:45:56+00:00,9.6424,48.7302,85.34,2026-03-06 10:45:57+00:00,2026-03-06,DE,Rechberghausen
801671,India,2026-03-06 10:45:55+00:00,73.3538,19.0382,203.44,2026-03-06 10:45:57+00:00,2026-03-06,IN,Neral
3455da,Spain,2026-03-06 10:45:56+00:00,5.0004,43.2567,172.8,2026-03-06 10:45:57+00:00,2026-03-06,FR,Sausset-les-Pins
4acb41,Sweden,2026-03-06 10:45:56+00:00,14.6693,66.7224,210.27,2026-03-06 10:45:57+00:00,2026-03-06,NO,Moldjord
4acb43,Sweden,2026-03-06 10:45:56+00:00,8.6688,48.5132,193.53,2026-03-06 10:45:57+00:00,2026-03-06,DE,Haiterbach
a9a20d,United States,2026-03-06 10:45:56+00:00,2.1321,49.0625,114.11,2026-03-06 10:45:57+00:00,2026-03-06,FR,Saint-Ouen-l'Aumône
4acb42,Sweden,2026-03-06 10:45:56+00:00,-13.804,32.0055,216.07,2026-03-06 10:45:57+00:00,2026-03-06,PT,Vila Baleira
4acb45,Sweden,2026-03-06 10:45:55+00:00,-9.2281,36.38,242.66,2026-03-06 10:45:57+00:00,2026-03-06,PT,Sagres
4b187d,Switzerland,2026-03-06 10:45:56+00:00,-7.8058,51.1057,232.38,2026-03-06 10:45:57+00:00,2026-03-06,IE,Cloyne
4b187f,Switzerland,2026-03-06 10:45:56+00:00,8.5534,47.4608,0.0,2026-03-06 10:45:57+00:00,2026-03-06,CH,Rümlang / Rümlang (Dorfkern)
aae1ea,United States,2026-03-06 10:45:56+00:00,-5.9155,50.6513,245.58,2026-03-06 10:45:57+00:00,2026-03-06,GB,St Just
aba155,United States,2026-03-06 10:45:56+00:00,175.4118,-35.5904,265.78,2026-03-06 10:45:57+00:00,2026-03-06,NZ,Ngunguru
3455d7,Spain,2026-03-06 10:45:56+00:00,-0.1609,49.023,148.93,2026-03-06 10:45:57+00:00,2026-03-06,FR,Saint-Sylvain
3455d8,Spain,2026-03-06 10:45:56+00:00,-0.313,45.7696,216.12,2026-03-06 10:45:57+00:00,2026-03-06,FR,Cherves-Richemont
4b1886,Switzerland,2026-03-06 10:45:55+00:00,24.446,45.1448,232.3,2026-03-06 10:45:57+00:00,2026-03-06,RO,Runcu
3c65c2,Germany,2026-03-06 10:45:56+00:00,6.379,51.2533,214.99,2026-03-06 10:45:57+00:00,2026-03-06,DE,Viersen
3c65c1,Germany,2026-03-06 10:45:56+00:00,15.8049,47.7401,229.06,2026-03-06 10:45:57+00:00,2026-03-06,AT,Reichenau an der Rax
ad079a,United States,2026-03-06 10:45:55+00:00,-100.4285,32.3454,68.5,2026-03-06 10:45:57+00:00,2026-03-06,US,Sweetwater
4b1880,Switzerland,2026-03-06 10:45:55+00:00,-8.6149,46.0005,238.7,2026-03-06 10:45:57+00:00,2026-03-06,ES,Cariño
44023f,Austria,2026-03-06 10:45:56+00:00,0.3557,39.8256,228.86,2026-03-06 10:45:57+00:00,2026-03-06,ES,Oropesa del Mar
ac1afa,United States,2026-03-06 10:45:56+00:00,-65.9823,18.4566,82.83,2026-03-06 10:45:57+00:00,2026-03-06,PR,Carolina
a8e2d6,United States,2026-03-06 10:45:56+00:00,-81.7451,27.025,196.23,2026-03-06 10:45:57+00:00,2026-03-06,US,Nocatee
3c5ee6,Germany,2026-03-06 10:45:57+00:00,6.4214,47.044,229.91,2026-03-06 10:45:57+00:00,2026-03-06,FR,Gilley
3c5ee5,Germany,2026-03-06 10:45:56+00:00,2.4533,51.0661,208.23,2026-03-06 10:45:57+00:00,2026-03-06,FR,Leffrinckoucke
3c5ee9,Germany,2026-03-06 10:45:55+00:00,3.7985,49.6349,208.08,2026-03-06 10:45:57+00:00,2026-03-06,FR,Liesse-Notre-Dame
4bc8cd,Turkey,2026-03-06 10:45:56+00:00,23.7522,45.3962,214.19,2026-03-06 10:45:57+00:00,2026-03-06,RO,Voineasa
4bc8cb,Turkey,2026-03-06 10:45:56+00:00,13.1553,48.4847,203.59,2026-03-06 10:45:57+00:00,2026-03-06,DE,Haarbach
